date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:45:22	166/166	---MCZ	200	added ('OK')	text/plain	date:Mon,%2028%20Jul%202025%2022:45:22%20GMT	https://medicora.keydesign.xyz/robots.txt		(from )
15:45:23	151611/151611	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jul%202025%2022:45:22%20GMT	https://medicora.keydesign.xyz/medical-clinic/	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/index.html	(from )
15:45:24	1783452/1783452	---MCZ	200	added ('OK')	text/css	etag:W/%221b369c-63a99d9b1cf73%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css	(from https://medicora.keydesign.xyz/medical-clinic/)
15:45:26	231052/231052	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223868c-63a99cf4f70a0%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.43.0	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons4518.eot	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:26	112938/112938	---M--	200	added ('OK')	image/jpeg	etag:%221b92a-6352a02f459b1%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/2025/05/medicora-clinic-parallax.jpg	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/2025/05/medicora-clinic-parallax.jpg	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:26	114289/114289	---M--	200	added ('OK')	image/jpeg	etag:%221be71-63529f40dee1e%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/2025/05/medicora-clinic-img-contact-img.jpg	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/2025/05/medicora-clinic-img-contact-img.jpg	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:27	141/141	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228d-62d4fc63e369a%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/themes/medicora/assets/svg/arrow-breadcrumbs.svg	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/themes/medicora/assets/svg/arrow-breadcrumbs.svg	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:28	201/201	---M--	200	added ('OK')	image/png	etag:%22c9-63a99cfc0d44b%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementskit-lite/widgets/init/assets/img/arrow.png	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementskit-lite/widgets/init/assets/img/arrow.png	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:28	141/141	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228d-636a79abd1a18%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/plugins/keydesign-framework/assets/svg/arrow-breadcrumbs.svg	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/plugins/keydesign-framework/assets/svg/arrow-breadcrumbs.svg	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:29	27432/27432	---M--	200	added ('OK')	font/woff2	etag:%226b28-632cdd9afab34%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/elementor/google-fonts/fonts/inter-ucc53fwrk3iltcvneqg7ca725jhhknnqk6l0uumjng.woff2	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/elementor/google-fonts/fonts/inter-ucc53fwrk3iltcvneqg7ca725jhhknnqk6l0uumjng.woff2	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:30	27880/27880	---M--	200	added ('OK')	font/woff2	etag:%226ce8-632cdd9d0cbc9%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/elementor/google-fonts/fonts/intertight-ngsyv5hmafg6iuglbnmjxlscwadkrfe9.woff2	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/elementor/google-fonts/fonts/intertight-ngsyv5hmafg6iuglbnmjxlscwadkrfe9.woff2	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:30	459560/459560	---M--	200	added ('OK')	font/woff	etag:%2270328-63a99cfc018cb%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/fonts/elementskit.woff?y24e1e	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementskit-lite/modules/elementskit-icon-pack/assets/fonts/elementskit97ac.woff	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:31	151556/151556	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2225004-63a99cf5062d0%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-brands-400.eot	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:32	203030/203030	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2231916-63a99cf50bca8%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.eot	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:32	34034/34034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2284f2-63a99cf50b4d8%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:33	161456/161456	---M--	200	added ('OK')	image/jpeg	etag:%22276b0-6352924046205%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/2025/02/medicora-clinic-img-1.jpg	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/2025/02/medicora-clinic-img-1.jpg	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
15:45:33	114074/114074	---M--	200	added ('OK')	image/jpeg	etag:%221bd9a-635293d569721%22	https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/2025/03/medicora-clinic-img-2.jpg	C:/My%20Web%20Sites/doctor/medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/2025/03/medicora-clinic-img-2.jpg	(from https://medicora.keydesign.xyz/medical-clinic/wp-content/uploads/sites/4/siteground-optimizer-assets/siteground-optimizer-combined-css-c2603ae2babd6af6d5002564f300e297.css)
